"","1-1A","10-2B","11-2C","12-2D","13-2E","14-2F","15-2G","16-2H","17-3A","18-3B","19-3C","2-1B","20-3D","21-3E","22-3F","23-3G","24-3H","25-4A","26-4B","27-4C","28-4D","29-4E","3-1C","30-4F","31-4G","32-4H","33-5A","34-5B","35-5C","36-5D","37-6E","38-5F","39-5G","4-1D","40-5H","5-1E","6-1F","7-1G","8-1H","9-2A"
"0319-6G20",0.106528756878235,0.0996920002998699,0.123820562130001,0.145700613857873,0.162858072083219,0.185753380258411,0.220418852630485,0.175253643785389,0.270570876108224,0.296579811431113,0.148838225047355,0.0829858982607591,0.124771871186604,0.162858072083211,0.161755301042034,0.206446214385981,0.190521973734809,0.196570018540798,0.144662925440114,0.163964876555534,0.150950391432757,0.162858072083213,0.110045619717738,0.205198397244564,0.150950391432768,0.157384642448172,0.205198397244563,0.241528266582793,0.172963914713776,0.131546471127533,0.203954359659411,0.22300729105196,0.371767712724944,0.088356199742034,0.184570996389359,0.18339253300209,0.167309442064285,0.211475087202516,0.124771871186603,0.182217997208898
"4-29-1",0.527002101081552,0.508539489939395,0.569074295664695,0.614456710078385,0.645129524976438,0.680695387865892,0.725435428494368,0.665070101182544,0.776100485618527,0.797569879644401,0.620358591763871,0.458188027892963,0.571216272932731,0.645129524976424,0.643270474324924,0.708545705344476,0.687442702493194,0.695707822945925,0.612473994431015,0.646980848322858,0.624254575014696,0.645129524976429,0.536071617191809,0.70696674921876,0.624254575014716,0.635756946710069,0.706966749218758,0.748474687044518,0.661513779807286,0.586001227892493,0.705380460985277,0.728413120015367,0.846858594813955,0.47525518088577,0.678989669077396,0.677276369832847,0.652488492261325,0.714788558550354,0.571216272932728,0.675555478580869
"661239",0.15926298640286,0.149608573315334,0.18335798981174,0.213198781546788,0.236107942708033,0.266028589720582,0.309972032073218,0.252397827722835,0.370808243143035,0.401153551598383,0.217420012249235,0.125705540198263,0.184670312653437,0.236107942708022,0.234648197849507,0.292452131076198,0.272169139954251,0.279912792715076,0.211799549678481,0.237571288396675,0.22025357923652,0.236107942708026,0.164200833249918,0.290875017880563,0.220253579236535,0.228845666202505,0.290875017880561,0.335961869762031,0.249404985162618,0.193976359741019,0.28930062206302,0.313189628064723,0.484588974467361,0.133438098355102,0.264501213980273,0.262976992752627,0.241982707367317,0.298787222997055,0.184670312653435,0.261455950716831
"67-14",0.394750519156838,0.377226032328388,0.435996791411727,0.482653124470319,0.51554446108061,0.555142048215212,0.607325827593819,0.537546893390511,0.669867156682241,0.697553403417578,0.488894372142415,0.331116474158944,0.43814716275873,0.515544461080595,0.513518469060722,0.587303922336718,0.562838569459902,0.572348894135327,0.480565587714721,0.517566273589356,0.493036961766981,0.5155444610806,0.403485551234646,0.585452427235051,0.493036961767002,0.505373442787235,0.585452427235049,0.635293318720239,0.533586116233377,0.453127663838803,0.583595784693798,0.610897388438124,0.763988402307796,0.346477164742137,0.553205861632854,0.551264903794891,0.523606277760362,0.594658076587069,0.438147162758727,0.549319201200587
"A0839",0.323409148248294,0.307443006947484,0.361655319376773,0.406084185117033,0.438177017783192,0.477691638155051,0.531289934778953,0.460012856709391,0.597924006959214,0.628295782256838,0.412124052460481,0.266217020287742,0.363675457776835,0.438177017783177,0.436181322172703,0.510515768464569,0.485486225992764,0.49516998504089,0.404069161096684,0.440171095157995,0.416145782928822,0.438177017783182,0.331429991294922,0.50860801381869,0.416145782928843,0.428183294644152,0.508608013818688,0.560756211043235,0.45605997728142,0.377821959429013,0.506697200110294,0.5350235938715,0.70347690318763,0.279826518986163,0.475736701405168,0.473779327233494,0.446143156864089,0.518115537499494,0.363675457776832,0.471819555528313
"A21b",0.677532675251775,0.66116802290223,0.713494640334848,0.750340174459953,0.774175531975144,0.8008015724045,0.832845271980339,0.789233872839459,0.867315309979174,0.88137512128764,0.754991376473171,0.614603103040231,0.715277919994044,0.774175531975133,0.772754381028979,0.820931865972707,0.805735213057248,0.81172895139175,0.748770545342661,0.775587818971898,0.758044595059866,0.774175531975137,0.685438667910226,0.819806923005958,0.758044595059881,0.766980160508827,0.819806923005957,0.848750712467165,0.786572853958614,0.727465478728102,0.818674806033642,0.834923162310526,0.912497214065885,0.630714250847836,0.799548518356463,0.798287513098407,0.779771983819555,0.825360779566871,0.715277919994041,0.797018509564162
"A4b",0.92229873639675,0.916830761828445,0.933637702262144,0.944379122256111,0.950901514967076,0.957825645184329,0.965692109029608,0.954862556232182,0.973634219705805,0.976730306899351,0.94567706412693,0.900091772342085,0.934177166362052,0.950901514967073,0.950521450078156,0.96282429341926,0.959068978455095,0.960563393643915,0.94393828217927,0.95127812907868,0.946522334936215,0.950901514967074,0.924869194247512,0.96255008348607,0.946522334936219,0.948965909693208,0.96255008348607,0.969420772832583,0.954171248406795,0.937809404742357,0.962273522341331,0.966185637312325,0.983309038237092,0.906091881041785,0.957507935901171,0.957187417402602,0.952387642195324,0.9638980984317,0.934177166362051,0.956864059626202
"ABY1",0.0281910678992577,0.02623421496712,0.0332401282593821,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417803,0.082778322263693,0.0930379693969894,0.0408086281357605,0.0215433984472147,0.0335221367571231,0.0451928985702921,0.0448442004052812,0.0595279349704632,0.0541627589940021,0.0561825696823815,0.0395231201585923,0.045543540147567,0.0414624233186989,0.045192898570293,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411032,0.0591019947470239,0.0719059631181474,0.0484195680578254,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.125857224592079,0.0230374353389681,0.0521963392284535,0.051809371280427,0.0466072027561262,0.0612542383304705,0.0335221367571226,0.0514244895568575
"AD3",0.0899308354332848,0.0840590761859396,0.104844606771564,0.123845425158961,0.138847540135585,0.159008492353859,0.189846526643367,0.149742497372601,0.235140551613857,0.258952783926472,0.126582128199146,0.0697696789523588,0.105667706770458,0.138847540135577,0.137880574881765,0.177370968106599,0.16322813719359,0.16859020197255,0.12294099075676,0.139818419836807,0.128426112340545,0.13884754013558,0.0929567554745759,0.176259855545046,0.128426112340554,0.134051851729753,0.176259855545045,0.208812285725914,0.147726375863731,0.11153721754184,0.175152598149484,0.192164443091775,0.329064044542046,0.0743540610681054,0.15796332233151,0.156922052514618,0.142754546724968,0.181853895580703,0.105667706770456,0.155884684582652
"ADurb.Bin120",0.0281910678992577,0.0262342149671201,0.0332401282593821,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417804,0.082778322263693,0.0930379693969894,0.0408086281357606,0.0215433984472147,0.0335221367571231,0.0451928985702922,0.0448442004052813,0.0595279349704632,0.0541627589940021,0.0561825696823815,0.0395231201585923,0.045543540147567,0.0414624233186989,0.045192898570293,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411033,0.059101994747024,0.0719059631181474,0.0484195680578255,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.12585722459208,0.0230374353389681,0.0521963392284535,0.0518093712804271,0.0466072027561262,0.0612542383304706,0.0335221367571226,0.0514244895568576
